"nodeType","testName","category","metric","value","timestamp"
"client","S1","latency","read",4289,"1684045089135"
"client","S1","latency","read",10536,"1684045089145"
"client","S1","latency","read",3510,"1684045089149"
"client","S1","latency","read",3496,"1684045089184"
"client","S1","latency","read",5214,"1684045089189"
"client","S1","latency","read",4097,"1684045089193"
"client","S1","latency","read",10405,"1684045089211"
"client","S1","latency","read",3509,"1684045089226"
"client","S1","latency","read",3457,"1684045089229"
"client","S1","latency","read",4888,"1684045089234"
"client","S1","latency","read",3959,"1684045089242"
"client","S1","latency","read",3576,"1684045089255"
"client","S1","latency","read",6458,"1684045089262"
"client","S1","latency","read",5600,"1684045089267"
"client","S1","latency","read",3556,"1684045089277"
"client","S1","latency","read",6125,"1684045089298"
"client","S1","latency","read",3461,"1684045089309"
"client","S1","latency","read",5876,"1684045089315"
"client","S1","latency","read",3760,"1684045089319"
"client","S1","latency","read",3783,"1684045089327"
"client","S1","latency","read",3626,"1684045089334"
"client","S1","latency","read",3381,"1684045089338"
"client","S1","latency","read",3343,"1684045089353"
"client","S1","latency","read",3292,"1684045089360"
"client","S1","latency","read",6618,"1684045089367"
"client","S1","latency","read",3401,"1684045089373"
"client","S1","latency","read",3250,"1684045089377"
"client","S1","latency","read",3447,"1684045089391"
"client","S1","latency","read",3755,"1684045089427"
"client","S1","latency","read",6917,"1684045089440"
"client","S1","latency","read",5262,"1684045089455"
"client","S1","latency","read",3698,"1684045089458"
"client","S1","latency","read",3732,"1684045089472"
"client","S1","latency","read",3336,"1684045089476"
"client","S1","latency","read",3356,"1684045089479"
"client","S1","latency","read",3365,"1684045089493"
"client","S1","latency","read",3278,"1684045089500"
"client","S1","latency","read",4741,"1684045089504"
"client","S1","latency","read",3236,"1684045089508"
"client","S1","latency","read",3315,"1684045089515"
"client","S1","latency","read",3226,"1684045089518"
"client","S1","latency","read",3522,"1684045089531"
"client","S1","latency","read",7253,"1684045089546"
"client","S1","latency","read",4010,"1684045089550"
"client","S1","latency","read",3413,"1684045089558"
"client","S1","latency","read",6093,"1684045089564"
"client","S1","latency","read",3098,"1684045089567"
"client","S1","latency","read",2893,"1684045089570"
"client","S1","latency","read",3323,"1684045089576"
"client","S1","latency","read",6957,"1684045089583"
"client","S1","latency","read",3355,"1684045089587"
"client","S1","latency","read",5811,"1684045089596"
"client","S1","latency","read",3352,"1684045089599"
"client","S1","latency","read",8842,"1684045089608"
"client","S1","latency","read",4455,"1684045089613"
"client","S1","latency","read",3470,"1684045089627"
"client","S1","latency","read",3389,"1684045089634"
"client","S1","latency","read",6024,"1684045089652"
"client","S1","latency","read",3292,"1684045089682"
"client","S1","latency","read",7232,"1684045089692"
"client","S1","latency","read",3240,"1684045089695"
"client","S1","latency","read",5957,"1684045089701"
"client","S1","latency","read",3217,"1684045089704"
"client","S1","latency","read",3241,"1684045089714"
"client","S1","latency","read",6139,"1684045089738"
"client","S1","latency","read",3304,"1684045089745"
"client","S1","latency","read",3232,"1684045089748"
"client","S1","latency","read",3941,"1684045089752"
"client","S1","latency","read",3208,"1684045089758"
"client","S1","latency","read",3424,"1684045089773"
"client","S1","latency","read",3517,"1684045089776"
"client","S1","latency","read",3505,"1684045089780"
"client","S1","latency","read",4985,"1684045089785"
"client","S1","latency","read",3491,"1684045089788"
"client","S1","latency","read",3122,"1684045089805"
"client","S1","latency","read",3557,"1684045089808"
"client","S1","latency","read",6640,"1684045089818"
"client","S1","latency","read",4059,"1684045089830"
"client","S1","latency","read",3468,"1684045089841"
"client","S1","latency","read",3561,"1684045089844"
"client","S1","latency","read",3808,"1684045089848"
"client","S1","latency","read",3179,"1684045089856"
"client","S1","latency","read",7407,"1684045089867"
"client","S1","latency","read",3316,"1684045089870"
"client","S1","latency","read",3266,"1684045089881"
"client","S1","latency","read",5082,"1684045089886"
"client","S1","latency","read",3136,"1684045089889"
"client","S1","latency","read",3774,"1684045089893"
"client","S1","latency","read",3254,"1684045089911"
"client","S1","latency","read",3313,"1684045089914"
"client","S1","latency","read",4687,"1684045089924"
"client","S1","latency","read",3094,"1684045089927"
"client","S1","latency","read",4744,"1684045089944"
"client","S1","latency","read",3252,"1684045089951"
"client","S1","latency","read",3197,"1684045089957"
"client","S1","latency","read",3341,"1684045089964"
"client","S1","latency","read",6251,"1684045089973"
