"nodeType","testName","category","metric","min","max","mean","p1","p5","p50","p90","p95","p99","p99.9","p99.99"
"store","S1","memory","jvm.memory.used",14849296,29935512,23083784,15072915.76,15967394.8,22677428,29443769.6,29687243.2,29885858.24,29930546.624,29935015.4624
"store","S1","memory","insights.store.sizeOf.keys",0,8232,3572.14285714286,0,0,1294,8232,8232,8232,8232,8232
"store","S1","memory","insights.store.sizeOf.values",0,39240,17027.3571428571,0,0,6158.5,39240,39240,39240,39240,39240
"store","S1","memory","insights.store.sizeOf.total",0,47472,20599.5,0,0,7452.5,47472,47472,47472,47472,47472
"store","S1","cpu","system.cpu.usage",0,0.84,0.238571428571429,0,0,0.14,0.661,0.749,0.8218,0.83818,0.839818
"store","S1","cpu","process.cpu.usage",0,0.84,0.157142857142857,0,0,0.02,0.588,0.7425,0.8205,0.83805,0.839805
