READ latency raw data: op, timestamp(ms), latency(us)
read,17815,1684045087417
read,9033,1684045087447
read,7637,1684045087455
read,7065,1684045087462
read,5912,1684045087506
read,6164,1684045087512
read,10121,1684045087523
read,9931,1684045087560
read,9155,1684045087570
read,8829,1684045087586
read,7230,1684045087616
read,7184,1684045087632
read,6139,1684045087639
read,9267,1684045087662
read,4869,1684045087684
read,5016,1684045087723
read,5636,1684045087738
read,7914,1684045087791
read,4696,1684045087823
read,5092,1684045087836
read,4715,1684045087856
read,5314,1684045087867
read,5339,1684045087872
read,4269,1684045087881
read,4475,1684045087890
read,4714,1684045087915
read,4351,1684045087919
read,4910,1684045087924
read,4742,1684045087951
read,11817,1684045087963
read,4395,1684045087967
read,4749,1684045087972
read,12701,1684045088014
read,5754,1684045088030
read,5300,1684045088035
read,7101,1684045088042
read,4356,1684045088052
read,4161,1684045088056
read,4340,1684045088060
read,4439,1684045088070
read,4226,1684045088074
read,5137,1684045088085
read,4194,1684045088089
read,5739,1684045088095
read,6595,1684045088112
read,5698,1684045088133
read,4532,1684045088138
read,4150,1684045088153
read,4721,1684045088158
read,8892,1684045088167
read,6896,1684045088182
read,5361,1684045088188
read,6826,1684045088202
read,4988,1684045088212
read,4059,1684045088216
read,3963,1684045088255
read,4087,1684045088259
read,4142,1684045088263
read,5137,1684045088268
read,4936,1684045088287
read,4198,1684045088309
read,7354,1684045088321
read,4086,1684045088325
read,6203,1684045088345
read,6269,1684045088367
read,4018,1684045088378
read,5118,1684045088383
read,7815,1684045088391
read,4476,1684045088395
read,3852,1684045088411
read,6594,1684045088418
read,4701,1684045088422
read,8911,1684045088431
read,3832,1684045088448
read,7647,1684045088463
read,3992,1684045088476
read,3999,1684045088485
read,3760,1684045088489
read,4128,1684045088493
read,3857,1684045088506
read,5232,1684045088511
read,3860,1684045088515
read,3810,1684045088531
read,4059,1684045088559
read,3876,1684045088567
read,3704,1684045088571
read,4073,1684045088575
read,5182,1684045088593
read,3860,1684045088612
read,10183,1684045088630
read,4429,1684045088635
read,8069,1684045088671
read,4194,1684045088675
read,6769,1684045088687
read,5171,1684045088693
read,3846,1684045088697
read,4784,1684045088702
read,3838,1684045088710
read,3918,1684045088714
read,6505,1684045088721
read,4686,1684045088726
read,5052,1684045088737
read,3979,1684045088745
read,4315,1684045088754
read,5907,1684045088760
read,5078,1684045088765
read,9617,1684045088780
read,8147,1684045088792
read,3801,1684045088800
read,4202,1684045088805
read,5468,1684045088820
read,3960,1684045088828
read,7702,1684045088862
read,3858,1684045088872
read,3615,1684045088879
read,3970,1684045088913
read,4120,1684045088925
read,3680,1684045088928
read,4457,1684045088933
read,4171,1684045088937
read,3714,1684045088945
read,3408,1684045088964
read,3653,1684045088967
read,4431,1684045088972
read,3508,1684045088975
read,6620,1684045088982
read,4261,1684045088991
read,3811,1684045088999
read,5013,1684045089004
read,3590,1684045089017
read,3394,1684045089021
read,3601,1684045089038
read,3562,1684045089042
read,4065,1684045089055
read,3533,1684045089059
read,3544,1684045089068
read,3651,1684045089071
read,7732,1684045089083
read,5628,1684045089088
read,3663,1684045089096
read,5549,1684045089106
read,6436,1684045089123
read,3751,1684045089127
read,3774,1684045089131
read,4289,1684045089135
read,10536,1684045089145
read,3510,1684045089149
read,3496,1684045089184
read,5214,1684045089189
read,4097,1684045089193
read,10405,1684045089211
read,3509,1684045089226
read,3457,1684045089229
read,4888,1684045089234
read,3959,1684045089242
read,3576,1684045089255
read,6458,1684045089262
read,5600,1684045089267
read,3556,1684045089277
read,6125,1684045089298
read,3461,1684045089309
read,5876,1684045089315
read,3760,1684045089319
read,3783,1684045089327
read,3626,1684045089334
read,3381,1684045089338
read,3343,1684045089353
read,3292,1684045089360
read,6618,1684045089367
read,3401,1684045089373
read,3250,1684045089377
read,3447,1684045089391
read,3755,1684045089427
read,6917,1684045089440
read,5262,1684045089455
read,3698,1684045089458
read,3732,1684045089472
read,3336,1684045089476
read,3356,1684045089479
read,3365,1684045089493
read,3278,1684045089500
read,4741,1684045089504
read,3236,1684045089508
read,3315,1684045089515
read,3226,1684045089518
read,3522,1684045089531
read,7253,1684045089546
read,4010,1684045089550
read,3413,1684045089558
read,6093,1684045089564
read,3098,1684045089567
read,2893,1684045089570
read,3323,1684045089576
read,6957,1684045089583
read,3355,1684045089587
read,5811,1684045089596
read,3352,1684045089599
read,8842,1684045089608
read,4455,1684045089613
read,3470,1684045089627
read,3389,1684045089634
read,6024,1684045089652
read,3292,1684045089682
read,7232,1684045089692
read,3240,1684045089695
read,5957,1684045089701
read,3217,1684045089704
read,3241,1684045089714
read,6139,1684045089738
read,3304,1684045089745
read,3232,1684045089748
read,3941,1684045089752
read,3208,1684045089758
read,3424,1684045089773
read,3517,1684045089776
read,3505,1684045089780
read,4985,1684045089785
read,3491,1684045089788
read,3122,1684045089805
read,3557,1684045089808
read,6640,1684045089818
read,4059,1684045089830
read,3468,1684045089841
read,3561,1684045089844
read,3808,1684045089848
read,3179,1684045089856
read,7407,1684045089867
read,3316,1684045089870
read,3266,1684045089881
read,5082,1684045089886
read,3136,1684045089889
read,3774,1684045089893
read,3254,1684045089911
read,3313,1684045089914
read,4687,1684045089924
read,3094,1684045089927
read,4744,1684045089944
read,3252,1684045089951
read,3197,1684045089957
read,3341,1684045089964
read,6251,1684045089973
read,5314,1684045089987
read,4948,1684045089992
read,3340,1684045089996
read,3228,1684045089999
read,4190,1684045090007
read,3508,1684045090010
read,4075,1684045090023
read,3405,1684045090026
read,3333,1684045090029
read,3144,1684045090032
read,6012,1684045090058
read,3172,1684045090064
read,10733,1684045090081
read,3670,1684045090092
read,6316,1684045090098
read,3212,1684045090101
read,3065,1684045090108
read,2854,1684045090111
read,3114,1684045090118
read,2982,1684045090121
read,2957,1684045090136
read,2923,1684045090139
read,3413,1684045090143
read,3116,1684045090166
read,2992,1684045090177
read,3074,1684045090180
read,3038,1684045090186
read,9656,1684045090196
read,4683,1684045090201
read,3318,1684045090210
read,3207,1684045090213
read,4183,1684045090220
read,3172,1684045090224
read,3738,1684045090227
read,3188,1684045090231
read,3055,1684045090242
read,4248,1684045090273
read,3307,1684045090277
read,5481,1684045090282
read,3285,1684045090285
read,3119,1684045090295
read,4167,1684045090305
read,4797,1684045090319
read,3802,1684045090323
read,3289,1684045090326
read,3097,1684045090333
read,3163,1684045090340
read,4655,1684045090348
read,2909,1684045090354
read,3066,1684045090358
read,2994,1684045090361
read,8472,1684045090369
read,3223,1684045090376
read,5194,1684045090381
read,3070,1684045090384
read,3754,1684045090392
read,3062,1684045090395
read,3600,1684045090399
read,2994,1684045090402
read,4163,1684045090409
read,3062,1684045090412
read,2950,1684045090415
read,2909,1684045090421
read,5316,1684045090426
read,2997,1684045090432
read,2729,1684045090441
read,3430,1684045090448
read,3119,1684045090451
read,4040,1684045090455
read,3338,1684045090458
read,4026,1684045090462
read,5063,1684045090467
read,6515,1684045090477
read,4456,1684045090481
read,3202,1684045090501
read,5431,1684045090507
read,2916,1684045090516
read,3899,1684045090526
read,3069,1684045090529
read,2837,1684045090532
read,2934,1684045090535
read,3069,1684045090545
read,2824,1684045090551
read,3626,1684045090555
read,3175,1684045090558
read,2795,1684045090561
read,2918,1684045090574
read,6145,1684045090583
read,2931,1684045090589
read,2944,1684045090599
read,2811,1684045090615
read,2947,1684045090618
read,4345,1684045090623
read,2930,1684045090626
read,2808,1684045090628
read,5164,1684045090634
read,4311,1684045090641
read,3129,1684045090654
read,3077,1684045090657
read,3298,1684045090660
read,3084,1684045090671
read,3711,1684045090675
read,3179,1684045090687
read,7546,1684045090694
read,4253,1684045090702
read,3054,1684045090714
read,3845,1684045090718
read,5077,1684045090726
read,2713,1684045090759
read,2604,1684045090762
read,2662,1684045090764
read,3553,1684045090773
read,8033,1684045090781
read,3597,1684045090785
read,3963,1684045090789
read,3648,1684045090796
read,2995,1684045090799
read,2887,1684045090808
read,3470,1684045090812
read,3082,1684045090819
read,5253,1684045090839
read,3015,1684045090846
read,3015,1684045090854
read,2953,1684045090857
read,2964,1684045090860
read,2944,1684045090872
read,2967,1684045090887
read,3032,1684045090909
read,8430,1684045090924
read,3848,1684045090927
read,3070,1684045090930
read,2888,1684045090933
read,3463,1684045090937
read,3067,1684045090940
read,4745,1684045090945
read,3147,1684045090948
read,2965,1684045090954
read,9054,1684045090970
read,3121,1684045090988
read,7599,1684045091000
read,2787,1684045091010
read,3721,1684045091026
read,4091,1684045091033
read,2942,1684045091036
read,7653,1684045091049
read,2732,1684045091055
read,2560,1684045091060
read,2606,1684045091063
read,2881,1684045091072
read,2679,1684045091074
read,2684,1684045091077
read,2976,1684045091080
read,4549,1684045091089
read,3005,1684045091095
read,2898,1684045091107
read,6576,1684045091126
read,2949,1684045091135
read,3045,1684045091138
read,2842,1684045091155
read,2633,1684045091157
read,2556,1684045091160
read,6334,1684045091166
read,3066,1684045091169
read,2654,1684045091175
read,2661,1684045091177
read,2668,1684045091180
read,3334,1684045091204
read,2718,1684045091209
read,2623,1684045091218
read,3427,1684045091221
read,2999,1684045091236
read,2907,1684045091243
read,5681,1684045091249
read,2641,1684045091255
read,2619,1684045091257
read,2578,1684045091260
read,3372,1684045091263
read,8789,1684045091275
read,2826,1684045091286
read,5782,1684045091292
read,3038,1684045091295
read,2599,1684045091306
read,2679,1684045091308
read,8864,1684045091317
read,3009,1684045091321
read,4361,1684045091325
read,7905,1684045091341
read,2798,1684045091347
read,2875,1684045091350
read,3049,1684045091353
read,3078,1684045091356
read,2795,1684045091359
read,7637,1684045091367
read,3698,1684045091371
read,2772,1684045091386
read,2777,1684045091389
read,4395,1684045091413
read,3274,1684045091416
read,3304,1684045091419
read,2880,1684045091429
read,2868,1684045091439
read,2800,1684045091442
read,2902,1684045091444
read,2793,1684045091447
read,2793,1684045091450
read,5505,1684045091456
read,2968,1684045091461
read,3350,1684045091465
read,2990,1684045091471
read,3040,1684045091474
read,2852,1684045091491
read,2872,1684045091494
read,2814,1684045091497
read,2807,1684045091510
read,2888,1684045091526
read,2780,1684045091532
read,2876,1684045091537
read,2869,1684045091544
read,2855,1684045091546
read,2922,1684045091552
read,6807,1684045091565
read,2994,1684045091571
read,2935,1684045091599
read,2953,1684045091602
read,3875,1684045091627
read,2905,1684045091630
read,13411,1684045091643
read,2910,1684045091646
read,2860,1684045091649
read,5047,1684045091654
read,2833,1684045091663
read,3606,1684045091669
read,2719,1684045091675
read,3747,1684045091684
read,2880,1684045091687
read,2800,1684045091690
read,3855,1684045091694
read,10696,1684045091709
read,2956,1684045091716
read,2849,1684045091722
read,2852,1684045091725
read,2842,1684045091731
read,9356,1684045091743
read,3009,1684045091749
read,2885,1684045091755
read,3343,1684045091766
read,2649,1684045091768
read,2764,1684045091771
read,7947,1684045091779
read,2827,1684045091782
read,2563,1684045091787
CLEANUP latency raw data: op, timestamp(ms), latency(us)
cleanup,2,1684045091795
UPDATE latency raw data: op, timestamp(ms), latency(us)
update,1002902,1684045087399
update,7200,1684045087425
update,5881,1684045087431
update,7071,1684045087438
update,16561,1684045087478
update,8857,1684045087487
update,6706,1684045087494
update,6250,1684045087500
update,6658,1684045087529
update,7011,1684045087536
update,7402,1684045087544
update,6548,1684045087550
update,7043,1684045087577
update,5716,1684045087591
update,6336,1684045087598
update,10779,1684045087608
update,9061,1684045087625
update,5933,1684045087645
update,7953,1684045087653
update,11276,1684045087673
update,5423,1684045087679
update,7832,1684045087692
update,5958,1684045087698
update,6815,1684045087705
update,7410,1684045087712
update,5852,1684045087718
update,9035,1684045087732
update,8224,1684045087746
update,7198,1684045087753
update,9280,1684045087763
update,10705,1684045087774
update,5088,1684045087779
update,4499,1684045087783
update,8827,1684045087800
update,4799,1684045087805
update,8564,1684045087813
update,5121,1684045087819
update,7680,1684045087831
update,4383,1684045087841
update,4535,1684045087845
update,5743,1684045087851
update,5693,1684045087861
update,4393,1684045087877
update,4708,1684045087886
update,4960,1684045087895
update,4856,1684045087900
update,5593,1684045087906
update,4486,1684045087910
update,4229,1684045087929
update,4166,1684045087933
update,4371,1684045087937
update,9005,1684045087946
update,5499,1684045087978
update,9858,1684045087987
update,4717,1684045087992
update,4351,1684045087997
update,4273,1684045088001
update,4540,1684045088018
update,5687,1684045088024
update,5092,1684045088047
update,5184,1684045088066
update,5305,1684045088080
update,5584,1684045088100
update,4482,1684045088105
update,11190,1684045088123
update,4464,1684045088127
update,4871,1684045088142
update,6440,1684045088149
update,4600,1684045088171
update,4069,1684045088176
update,7581,1684045088195
update,4125,1684045088207
update,8187,1684045088224
update,4354,1684045088228
update,7173,1684045088235
update,4456,1684045088240
update,6491,1684045088247
update,4313,1684045088251
update,4057,1684045088272
update,4005,1684045088276
update,5310,1684045088282
update,5264,1684045088292
update,3838,1684045088296
update,4685,1684045088301
update,3920,1684045088305
update,4293,1684045088313
update,5545,1684045088330
update,4134,1684045088334
update,4427,1684045088339
update,4014,1684045088349
update,4303,1684045088354
update,7151,1684045088361
update,6537,1684045088374
update,3957,1684045088399
update,3821,1684045088403
update,4077,1684045088407
update,4155,1684045088436
update,9006,1684045088445
update,6677,1684045088455
update,4045,1684045088467
update,4896,1684045088472
update,5479,1684045088481
update,4787,1684045088498
update,3902,1684045088502
update,3827,1684045088519
update,8251,1684045088527
update,4505,1684045088536
update,4059,1684045088540
update,10007,1684045088550
update,5175,1684045088555
update,3906,1684045088563
update,5256,1684045088580
update,7217,1684045088587
update,3805,1684045088596
update,3754,1684045088600
update,3805,1684045088604
update,3794,1684045088608
update,4403,1684045088616
update,3720,1684045088620
update,3724,1684045088638
update,4902,1684045088643
update,3618,1684045088647
update,4318,1684045088651
update,3909,1684045088655
update,3788,1684045088659
update,3727,1684045088663
update,5425,1684045088681
update,4302,1684045088706
update,5379,1684045088732
update,4139,1684045088741
update,4555,1684045088749
update,5284,1684045088770
update,4001,1684045088784
update,4551,1684045088796
update,5755,1684045088810
update,4228,1684045088815
update,4125,1684045088824
update,5129,1684045088833
update,4121,1684045088838
update,8284,1684045088846
update,3992,1684045088850
update,3983,1684045088854
update,6462,1684045088868
update,3526,1684045088876
update,6014,1684045088885
update,3805,1684045088889
update,3524,1684045088893
update,3714,1684045088896
update,3615,1684045088900
update,5482,1684045088906
update,3838,1684045088909
update,6921,1684045088920
update,3836,1684045088941
update,3534,1684045088948
update,3772,1684045088952
update,4578,1684045088956
update,3570,1684045088960
update,4915,1684045088987
update,3804,1684045088995
update,5858,1684045089010
update,4031,1684045089014
update,6890,1684045089028
update,3412,1684045089031
update,3454,1684045089035
update,5410,1684045089047
update,3881,1684045089051
update,5298,1684045089064
update,3410,1684045089075
update,3724,1684045089092
update,4329,1684045089100
update,3772,1684045089109
update,3501,1684045089113
update,3674,1684045089117
update,3741,1684045089153
update,3898,1684045089157
update,4925,1684045089162
update,8715,1684045089170
update,3595,1684045089174
update,6330,1684045089180
update,4215,1684045089198
update,3515,1684045089201
update,3625,1684045089215
update,3513,1684045089219
update,3600,1684045089222
update,3494,1684045089238
update,5026,1684045089247
update,4639,1684045089251
update,6224,1684045089273
update,3565,1684045089281
update,3147,1684045089284
update,3600,1684045089287
update,4572,1684045089292
update,3546,1684045089302
update,4042,1684045089306
update,4065,1684045089323
update,3949,1684045089331
update,4544,1684045089342
update,3967,1684045089346
update,3327,1684045089350
update,3402,1684045089357
update,3269,1684045089370
update,3606,1684045089380
update,7057,1684045089387
update,4319,1684045089395
update,3574,1684045089399
update,5852,1684045089405
update,3660,1684045089408
update,14059,1684045089423
update,5733,1684045089433
update,9151,1684045089449
update,3297,1684045089462
update,3306,1684045089465
update,3584,1684045089469
update,3269,1684045089482
update,7288,1684045089490
update,3195,1684045089496
update,3698,1684045089511
update,3718,1684045089523
update,4869,1684045089528
update,4556,1684045089536
update,3262,1684045089539
update,3812,1684045089554
