"nodeType","testName","category","metric","timestamp","value"
"store","S2","memory","insights.store.sizeOf.values",1684047460099,12317
"store","S2","memory","insights.store.sizeOf.values",1684047462103,12317
"store","S2","memory","insights.store.sizeOf.values",1684047464098,12317
"store","S2","memory","insights.store.sizeOf.values",1684047466097,12317
"store","S2","memory","insights.store.sizeOf.total",1684047430107,0
"store","S2","memory","insights.store.sizeOf.total",1684047432096,0
"store","S2","memory","insights.store.sizeOf.total",1684047434097,0
"store","S2","memory","insights.store.sizeOf.total",1684047436096,0
"store","S2","memory","insights.store.sizeOf.total",1684047438097,0
"store","S2","memory","insights.store.sizeOf.total",1684047440097,0
"store","S2","memory","insights.store.sizeOf.total",1684047442096,0
"store","S2","memory","insights.store.sizeOf.total",1684047444096,0
"store","S2","memory","insights.store.sizeOf.total",1684047446096,0
"store","S2","memory","insights.store.sizeOf.total",1684047448096,0
"store","S2","memory","insights.store.sizeOf.total",1684047450096,0
"store","S2","memory","insights.store.sizeOf.total",1684047452096,0
"store","S2","memory","insights.store.sizeOf.total",1684047454115,1452
"store","S2","memory","insights.store.sizeOf.total",1684047456102,7522
"store","S2","memory","insights.store.sizeOf.total",1684047458098,14116
"store","S2","memory","insights.store.sizeOf.total",1684047460099,14908
"store","S2","memory","insights.store.sizeOf.total",1684047462103,14908
"store","S2","memory","insights.store.sizeOf.total",1684047464098,14908
"store","S2","memory","insights.store.sizeOf.total",1684047466097,14908
"store","S2","cpu","system.cpu.usage",1684047430,1
"store","S2","cpu","system.cpu.usage",1684047432,0.22
"store","S2","cpu","system.cpu.usage",1684047434,0.04
"store","S2","cpu","system.cpu.usage",1684047436,0.02
"store","S2","cpu","system.cpu.usage",1684047438,0.03
"store","S2","cpu","system.cpu.usage",1684047440,0.12
"store","S2","cpu","system.cpu.usage",1684047442,0.04
"store","S2","cpu","system.cpu.usage",1684047444,0.01
"store","S2","cpu","system.cpu.usage",1684047446,0.02
"store","S2","cpu","system.cpu.usage",1684047448,0.02
"store","S2","cpu","system.cpu.usage",1684047450,0.12
"store","S2","cpu","system.cpu.usage",1684047452,0.01
"store","S2","cpu","system.cpu.usage",1684047454,0.49
"store","S2","cpu","system.cpu.usage",1684047456,0.98
"store","S2","cpu","system.cpu.usage",1684047458,0.8
"store","S2","cpu","system.cpu.usage",1684047460,0.33
"store","S2","cpu","system.cpu.usage",1684047462,0.36
"store","S2","cpu","system.cpu.usage",1684047464,0.3
"store","S2","cpu","system.cpu.usage",1684047466,0.18
"store","S2","cpu","process.cpu.usage",1684047430,0
"store","S2","cpu","process.cpu.usage",1684047432,0.21
"store","S2","cpu","process.cpu.usage",1684047434,0.03
"store","S2","cpu","process.cpu.usage",1684047436,0.02
"store","S2","cpu","process.cpu.usage",1684047438,0.02
"store","S2","cpu","process.cpu.usage",1684047440,0.02
"store","S2","cpu","process.cpu.usage",1684047442,0.02
"store","S2","cpu","process.cpu.usage",1684047444,0.01
"store","S2","cpu","process.cpu.usage",1684047446,0.02
"store","S2","cpu","process.cpu.usage",1684047448,0.01
"store","S2","cpu","process.cpu.usage",1684047450,0.02
"store","S2","cpu","process.cpu.usage",1684047452,0.01
"store","S2","cpu","process.cpu.usage",1684047454,0.49
"store","S2","cpu","process.cpu.usage",1684047456,0.98
"store","S2","cpu","process.cpu.usage",1684047458,0.77
"store","S2","cpu","process.cpu.usage",1684047460,0.04
"store","S2","cpu","process.cpu.usage",1684047462,0.05
"store","S2","cpu","process.cpu.usage",1684047464,0.19
"store","S2","cpu","process.cpu.usage",1684047466,0.02
