"nodeType","testName","category","metric","timestamp","value"
"store","S2","memory","jvm.memory.used",1684047430,14629512
"store","S2","memory","jvm.memory.used",1684047432,19645472
"store","S2","memory","jvm.memory.used",1684047434,21096408
"store","S2","memory","jvm.memory.used",1684047436,22058608
"store","S2","memory","jvm.memory.used",1684047438,22924480
"store","S2","memory","jvm.memory.used",1684047440,19561200
"store","S2","memory","jvm.memory.used",1684047442,20251392
"store","S2","memory","jvm.memory.used",1684047444,21025768
"store","S2","memory","jvm.memory.used",1684047446,21723056
"store","S2","memory","jvm.memory.used",1684047448,22396336
"store","S2","memory","jvm.memory.used",1684047450,23106048
"store","S2","memory","jvm.memory.used",1684047452,23793144
"store","S2","memory","jvm.memory.used",1684047454,25639088
"store","S2","memory","jvm.memory.used",1684047456,27529792
"store","S2","memory","jvm.memory.used",1684047458,26719064
"store","S2","memory","jvm.memory.used",1684047460,30435104
"store","S2","memory","jvm.memory.used",1684047462,28212064
"store","S2","memory","jvm.memory.used",1684047464,30626080
"store","S2","memory","jvm.memory.used",1684047466,28228600
"store","S2","memory","insights.store.sizeOf.keys",1684047430099,0
"store","S2","memory","insights.store.sizeOf.keys",1684047432096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047434096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047436096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047438096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047440097,0
"store","S2","memory","insights.store.sizeOf.keys",1684047442096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047444096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047446096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047448096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047450096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047452096,0
"store","S2","memory","insights.store.sizeOf.keys",1684047454115,253
"store","S2","memory","insights.store.sizeOf.keys",1684047456102,1309
"store","S2","memory","insights.store.sizeOf.keys",1684047458098,2453
"store","S2","memory","insights.store.sizeOf.keys",1684047460099,2591
"store","S2","memory","insights.store.sizeOf.keys",1684047462103,2591
"store","S2","memory","insights.store.sizeOf.keys",1684047464098,2591
"store","S2","memory","insights.store.sizeOf.keys",1684047466097,2591
"store","S2","memory","insights.store.sizeOf.values",1684047430105,0
"store","S2","memory","insights.store.sizeOf.values",1684047432096,0
"store","S2","memory","insights.store.sizeOf.values",1684047434097,0
"store","S2","memory","insights.store.sizeOf.values",1684047436096,0
"store","S2","memory","insights.store.sizeOf.values",1684047438097,0
"store","S2","memory","insights.store.sizeOf.values",1684047440097,0
"store","S2","memory","insights.store.sizeOf.values",1684047442096,0
"store","S2","memory","insights.store.sizeOf.values",1684047444096,0
"store","S2","memory","insights.store.sizeOf.values",1684047446096,0
"store","S2","memory","insights.store.sizeOf.values",1684047448096,0
"store","S2","memory","insights.store.sizeOf.values",1684047450096,0
"store","S2","memory","insights.store.sizeOf.values",1684047452096,0
"store","S2","memory","insights.store.sizeOf.values",1684047454115,1199
"store","S2","memory","insights.store.sizeOf.values",1684047456102,6213
"store","S2","memory","insights.store.sizeOf.values",1684047458098,11663
