"nodeType","testName","category","metric","min","max","mean","p1","p5","p50","p90","p95","p99","p99.9","p99.99"
"store","S2","memory","jvm.memory.used",14629512,30626080,23663221.8947368,15517215.84,19068031.2,22924480,28669900.8,30454201.6,30591704.32,30622642.432,30625736.2432
"store","S2","memory","insights.store.sizeOf.keys",0,2591,756.789473684211,0,0,0,2591,2591,2591,2591,2591
"store","S2","memory","insights.store.sizeOf.values",0,12317,3597,0,0,0,12317,12317,12317,12317,12317
"store","S2","memory","insights.store.sizeOf.total",0,14908,4353.78947368421,0,0,0,14908,14908,14908,14908,14908
"store","S2","cpu","system.cpu.usage",0.01,1,0.267894736842105,0.01,0.01,0.12,0.836,0.982,0.9964,0.99964,0.999964
"store","S2","cpu","process.cpu.usage",0,0.98,0.154210526315789,0.0018,0.009,0.02,0.546,0.790999999999999,0.9422,0.97622,0.979622
