"nodeType","testName","category","metric","min","max","mean","p1","p5","p50","p90","p95","p99","p99.9","p99.99"
"client","S2","latency","read",1680,425689,4925.802,1725.87,1877.8,3048,7605.6,9365.8,16145.3,224942.29799999,405614.329800008
"client","S2","latency","read-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S2","latency","update",2642,43439,5776.368,2838.99,3034.9,4464.5,9183.5,11959.25,21545.63,36675.5539999997,42762.6554000003
"client","S2","latency","update-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S2","latency","insert",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S2","latency","insert-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S2","latency","scan",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S2","latency","scan-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S2","latency","read-modify-write",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S2","latency","read-modify-write-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
