"nodeType","testName","category","metric","value","timestamp"
"client","S2","latency","read",425689,"1684047453534"
"client","S2","latency","read",10569,"1684047453618"
"client","S2","latency","read",7890,"1684047453650"
"client","S2","latency","read",23391,"1684047453703"
"client","S2","latency","read",3245,"1684047453706"
"client","S2","latency","read",6937,"1684047453726"
"client","S2","latency","read",8797,"1684047453799"
"client","S2","latency","read",10701,"1684047453809"
"client","S2","latency","read",6601,"1684047453816"
"client","S2","latency","read",8378,"1684047453830"
"client","S2","latency","read",9023,"1684047453839"
"client","S2","latency","read",11765,"1684047453851"
"client","S2","latency","read",9576,"1684047453860"
"client","S2","latency","read",7790,"1684047453904"
"client","S2","latency","read",4138,"1684047453916"
"client","S2","latency","read",4338,"1684047453920"
"client","S2","latency","read",9960,"1684047453939"
"client","S2","latency","read",8313,"1684047453947"
"client","S2","latency","read",12264,"1684047453960"
"client","S2","latency","read",9232,"1684047453976"
"client","S2","latency","read",4809,"1684047453981"
"client","S2","latency","read",8603,"1684047454008"
"client","S2","latency","read",16140,"1684047454062"
"client","S2","latency","read",3853,"1684047454089"
"client","S2","latency","read",5835,"1684047454128"
"client","S2","latency","read",2711,"1684047454160"
"client","S2","latency","read",8341,"1684047454169"
"client","S2","latency","read",9365,"1684047454189"
"client","S2","latency","read",5752,"1684047454195"
"client","S2","latency","read",6231,"1684047454201"
"client","S2","latency","read",6534,"1684047454208"
"client","S2","latency","read",6762,"1684047454221"
"client","S2","latency","read",2698,"1684047454263"
"client","S2","latency","read",7818,"1684047454275"
"client","S2","latency","read",2539,"1684047454277"
"client","S2","latency","read",2523,"1684047454287"
"client","S2","latency","read",5802,"1684047454293"
"client","S2","latency","read",3857,"1684047454297"
"client","S2","latency","read",2783,"1684047454300"
"client","S2","latency","read",4793,"1684047454334"
"client","S2","latency","read",14599,"1684047454369"
"client","S2","latency","read",6524,"1684047454375"
"client","S2","latency","read",4457,"1684047454380"
"client","S2","latency","read",6201,"1684047454396"
"client","S2","latency","read",12038,"1684047454460"
"client","S2","latency","read",11386,"1684047454484"
"client","S2","latency","read",3699,"1684047454488"
"client","S2","latency","read",4135,"1684047454506"
"client","S2","latency","read",2503,"1684047454538"
"client","S2","latency","read",6076,"1684047454544"
"client","S2","latency","read",3600,"1684047454548"
"client","S2","latency","read",5151,"1684047454553"
"client","S2","latency","read",2485,"1684047454556"
"client","S2","latency","read",3687,"1684047454563"
"client","S2","latency","read",3700,"1684047454601"
"client","S2","latency","read",6437,"1684047454616"
"client","S2","latency","read",3597,"1684047454629"
"client","S2","latency","read",7475,"1684047454637"
"client","S2","latency","read",9631,"1684047454646"
"client","S2","latency","read",16051,"1684047454673"
"client","S2","latency","read",12702,"1684047454686"
"client","S2","latency","read",6318,"1684047454692"
"client","S2","latency","read",10218,"1684047454708"
"client","S2","latency","read",2407,"1684047454744"
"client","S2","latency","read",3767,"1684047454748"
"client","S2","latency","read",5163,"1684047454753"
"client","S2","latency","read",3362,"1684047454768"
"client","S2","latency","read",4018,"1684047454800"
"client","S2","latency","read",5618,"1684047454836"
"client","S2","latency","read",7743,"1684047454851"
"client","S2","latency","read",3413,"1684047454860"
"client","S2","latency","read",3322,"1684047454863"
"client","S2","latency","read",5003,"1684047454868"
"client","S2","latency","read",3388,"1684047454872"
"client","S2","latency","read",2305,"1684047454874"
"client","S2","latency","read",7310,"1684047454881"
"client","S2","latency","read",4601,"1684047454890"
