"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0,1712506473
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0,1712506475
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0.01,1712506477
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0.06,1712506479
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0,1712506481
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0.04,1712506483
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0.01,1712506485
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0.01,1712506487
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0.01,1712506489
"store","W7","T1","consensus","raft","cpu","process.cpu.usage",0.01,1712506491
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0,1712506598
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.1,1712506600
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.03,1712506602
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506604
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.02,1712506606
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506608
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.03,1712506610
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.1,1712506612
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506615
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.03,1712506617
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506619
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.02,1712506621
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.02,1712506623
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.1,1712506625
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.03,1712506627
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.33,1712506629
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506631
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506633
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506635
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.09,1712506637
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.99,1712506639
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.99,1712506641
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.73,1712506643
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.46,1712506645
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.33,1712506647
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.3,1712506649
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.29,1712506651
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.29,1712506653
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.3,1712506655
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.29,1712506657
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.34,1712506659
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.3,1712506661
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.02,1712506663
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.21,1712506665
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.2,1712506667
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506669
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506671
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506673
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506675
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506677
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.14,1712506679
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.03,1712506681
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.02,1712506683
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.02,1712506685
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.02,1712506687
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.01,1712506689
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.3,1712506691
"store","W7","T2","consensus","bizur","cpu","system.cpu.usage",0.08,1712506693
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0,1712506598
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.1,1712506600
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506602
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506604
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506606
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506608
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506610
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506612
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506615
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506617
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506619
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506621
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506623
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506625
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506627
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506629
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506631
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506633
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506635
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.11,1712506637
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.99,1712506639
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.99,1712506641
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.72,1712506643
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.51,1712506645
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.32,1712506647
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.31,1712506649
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.31,1712506651
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.32,1712506653
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.28,1712506655
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.31,1712506657
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.3,1712506659
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.32,1712506661
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506663
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506665
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.07,1712506667
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506669
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506671
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506673
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506675
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506677
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.14,1712506679
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.03,1712506681
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506683
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.02,1712506685
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506687
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506689
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.01,1712506691
"store","W7","T2","consensus","bizur","cpu","process.cpu.usage",0.05,1712506693
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0,1712506800
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.11,1712506802
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506804
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506806
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.11,1712506808
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506810
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.04,1712506812
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.09,1712506814
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506816
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506818
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506821
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506823
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.03,1712506825
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.1,1712506827
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.03,1712506829
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506831
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506833
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.03,1712506835
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.03,1712506837
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.09,1712506839
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.03,1712506841
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.29,1712506843
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.06,1712506845
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0,1712506847
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506849
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0,1712506851
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.07,1712506853
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.95,1712506855
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.99,1712506857
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.6,1712506859
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.39,1712506861
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.28,1712506863
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.31,1712506865
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.3,1712506867
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.37,1712506869
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.25,1712506871
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.25,1712506873
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.26,1712506875
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.25,1712506877
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.25,1712506879
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.29,1712506881
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.31,1712506883
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.29,1712506885
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.08,1712506887
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506889
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.32,1712506891
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506893
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506895
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506897
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506899
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506901
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.13,1712506903
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506905
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.04,1712506907
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0,1712506909
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506911
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.03,1712506913
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.32,1712506915
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.03,1712506917
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.19,1712506919
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506921
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.33,1712506923
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506925
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506927
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506929
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0,1712506931
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506933
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.02,1712506935
"store","W7","T3","consensus","bizur","cpu","system.cpu.usage",0.01,1712506937
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0,1712506800
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.11,1712506802
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506804
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506806
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.11,1712506808
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.03,1712506810
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506812
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506814
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506816
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506818
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506821
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506823
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506825
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506827
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506829
