"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.keys",72565,1712506491
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506411
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506413
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506415
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506417
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506419
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506421
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506423
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506425
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506427
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506429
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506431
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506433
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506435
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",0,1712506437
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",8611,1712506439
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",38586,1712506441
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",74774,1712506443
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",107365,1712506445
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",142136,1712506447
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",172002,1712506449
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",203830,1712506451
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",236748,1712506453
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",264107,1712506455
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",296044,1712506457
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",326346,1712506459
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506461
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506463
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506465
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506467
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506469
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506471
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506473
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506475
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506477
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506479
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506481
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506483
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506485
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506487
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506489
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.values",345639,1712506491
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506411
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506413
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506415
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506417
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506419
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506421
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506423
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506425
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506427
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506429
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506431
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506433
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506435
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",0,1712506437
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",10422,1712506439
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",46689,1712506441
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",90477,1712506443
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",129911,1712506445
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",171984,1712506447
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",208113,1712506449
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",246633,1712506451
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",286449,1712506453
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",319555,1712506455
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",358201,1712506457
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",394862,1712506459
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506461
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506463
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506465
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506467
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506469
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506471
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506473
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506475
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506477
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506479
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506481
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506483
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506485
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506487
